File,Alphabet,TS,Depth,Entropy
obj2,Byte,262144,9,830704.5
obj2,Byte,524288,1,1002345
obj2,Byte,524288,2,875945
obj2,Byte,524288,3,835735.2
obj2,Byte,524288,4,823355.5
obj2,Byte,524288,5,823645.4
obj2,Byte,524288,6,823853.2
obj2,Byte,524288,7,825384.7
obj2,Byte,524288,8,824309.1
obj2,Byte,524288,9,825783.1
paper1,Byte,128,1,205470.2
paper1,Byte,128,2,212036.5
paper1,Byte,128,3,220454.8
paper1,Byte,128,4,226897.3
paper1,Byte,128,5,228952.4
paper1,Byte,128,6,231274.1
paper1,Byte,128,7,235139.1
paper1,Byte,128,8,236310.7
paper1,Byte,128,9,240466.4
paper1,Byte,256,1,205470.2
paper1,Byte,256,2,202723
paper1,Byte,256,3,210799.4
paper1,Byte,256,4,214990.9
paper1,Byte,256,5,218702.7
paper1,Byte,256,6,222126.2
paper1,Byte,256,7,226006.4
paper1,Byte,256,8,226925.9
paper1,Byte,256,9,229985.7
paper1,Byte,512,1,205470.2
paper1,Byte,512,2,193522.3
paper1,Byte,512,3,200358.6
paper1,Byte,512,4,206713.5
paper1,Byte,512,5,211471.5
paper1,Byte,512,6,214018.2
paper1,Byte,512,7,216599.7
paper1,Byte,512,8,218741.7
paper1,Byte,512,9,220379.1
paper1,Byte,1024,1,205481.4
paper1,Byte,1024,2,187174.8
paper1,Byte,1024,3,190854.3
paper1,Byte,1024,4,195910.6
paper1,Byte,1024,5,200283.3
paper1,Byte,1024,6,204268.2
paper1,Byte,1024,7,207577.6
paper1,Byte,1024,8,208716.2
paper1,Byte,1024,9,211522.9
paper1,Byte,2048,1,205481.4
paper1,Byte,2048,2,183904.8
paper1,Byte,2048,3,184236.2
paper1,Byte,2048,4,187722.8
paper1,Byte,2048,5,191230.6
paper1,Byte,2048,6,194619.3
paper1,Byte,2048,7,197666.3
paper1,Byte,2048,8,200122.4
paper1,Byte,2048,9,201661.7
paper1,Byte,4096,1,205481.4
paper1,Byte,4096,2,183086.6
paper1,Byte,4096,3,180559.5
paper1,Byte,4096,4,182490.9
paper1,Byte,4096,5,185208.5
paper1,Byte,4096,6,187134.8
paper1,Byte,4096,7,189608.5
paper1,Byte,4096,8,191232.6
paper1,Byte,4096,9,192353.6
paper1,Byte,8192,1,205481.4
paper1,Byte,8192,2,182500.1
paper1,Byte,8192,3,178276.5
paper1,Byte,8192,4,179170.8
paper1,Byte,8192,5,180666.9
paper1,Byte,8192,6,182039
paper1,Byte,8192,7,183599.2
paper1,Byte,8192,8,184676.6
paper1,Byte,8192,9,185308.6
paper1,Byte,16384,1,205481.4
paper1,Byte,16384,2,180167.7
paper1,Byte,16384,3,176924.6
paper1,Byte,16384,4,176998.5
paper1,Byte,16384,5,177897
paper1,Byte,16384,6,178652.5
paper1,Byte,16384,7,179408.5
paper1,Byte,16384,8,180080.3
paper1,Byte,16384,9,180767.4
paper1,Byte,32768,1,205481.4
paper1,Byte,32768,2,180167.7
paper1,Byte,32768,3,176395.5
paper1,Byte,32768,4,176317.2
paper1,Byte,32768,5,176720.8
paper1,Byte,32768,6,177148
paper1,Byte,32768,7,177570
paper1,Byte,32768,8,177825.2
paper1,Byte,32768,9,178200.7
paper1,Byte,65536,1,205481.4
paper1,Byte,65536,2,180167.7
paper1,Byte,65536,3,176139.5
paper1,Byte,65536,4,175923.6
paper1,Byte,65536,5,176118.8
paper1,Byte,65536,6,176297.4
paper1,Byte,65536,7,176420
paper1,Byte,65536,8,176481.1
paper1,Byte,65536,9,176718
paper1,Byte,131072,1,205481.4
paper1,Byte,131072,2,180167.7
paper1,Byte,131072,3,175794.8
paper1,Byte,131072,4,175501.5
paper1,Byte,131072,5,175589.1
paper1,Byte,131072,6,175724.4
paper1,Byte,131072,7,175807.9
paper1,Byte,131072,8,175854
paper1,Byte,131072,9,175967
paper1,Byte,262144,1,205481.4
paper1,Byte,262144,2,180167.7
paper1,Byte,262144,3,175701.6
paper1,Byte,262144,4,175391.7
paper1,Byte,262144,5,175486.2
paper1,Byte,262144,6,175550.5
paper1,Byte,262144,7,175604.9
paper1,Byte,262144,8,175610.5
paper1,Byte,262144,9,175637.9
paper1,Byte,524288,1,205481.4
paper1,Byte,524288,2,180167.7
paper1,Byte,524288,3,175640.2
paper1,Byte,524288,4,175335.9
paper1,Byte,524288,5,175391
paper1,Byte,524288,6,175409.5
paper1,Byte,524288,7,175395.1
paper1,Byte,524288,8,175413.5
paper1,Byte,524288,9,175419.8
paper2,Byte,128,1,300966.7
paper2,Byte,128,2,304560.5
paper2,Byte,128,3,316633.6
paper2,Byte,128,4,321213.2
paper2,Byte,128,5,327325.1
paper2,Byte,128,6,329867.3
paper2,Byte,128,7,335951.6
paper2,Byte,128,8,337052.6
paper2,Byte,128,9,340137.8
paper2,Byte,256,1,300966.7
paper2,Byte,256,2,289810.9
paper2,Byte,256,3,301012.1
paper2,Byte,256,4,310068.5
paper2,Byte,256,5,314658.6
paper2,Byte,256,6,318812.4
paper2,Byte,256,7,321407.7
paper2,Byte,256,8,325788.9
paper2,Byte,256,9,327128
paper2,Byte,512,1,300966.7
paper2,Byte,512,2,276846.6
paper2,Byte,512,3,284583.9
paper2,Byte,512,4,293685.7
paper2,Byte,512,5,300033.3
paper2,Byte,512,6,305488.4
paper2,Byte,512,7,309678.3
paper2,Byte,512,8,313269.9
paper2,Byte,512,9,315855
paper2,Byte,1024,1,300982.6
paper2,Byte,1024,2,270755.8
paper2,Byte,1024,3,273038.8
paper2,Byte,1024,4,280427.3
paper2,Byte,1024,5,286888
paper2,Byte,1024,6,290361.6
paper2,Byte,1024,7,294704
paper2,Byte,1024,8,299253.6
paper2,Byte,1024,9,302143
paper2,Byte,2048,1,300982.6
paper2,Byte,2048,2,266932.6
paper2,Byte,2048,3,264334.6
paper2,Byte,2048,4,269320.4
paper2,Byte,2048,5,274683.8
paper2,Byte,2048,6,278677.4
paper2,Byte,2048,7,282325.8
paper2,Byte,2048,8,286633.7
paper2,Byte,2048,9,289709.9
paper2,Byte,4096,1,300982.6
paper2,Byte,4096,2,265476.2
paper2,Byte,4096,3,258303.2
paper2,Byte,4096,4,261646.3
paper2,Byte,4096,5,265346.8
paper2,Byte,4096,6,268540.8
paper2,Byte,4096,7,271359.3
paper2,Byte,4096,8,273854
paper2,Byte,4096,9,275893.2
paper2,Byte,8192,1,300982.6
paper2,Byte,8192,2,265113.5
paper2,Byte,8192,3,254826.2
paper2,Byte,8192,4,256415.4
paper2,Byte,8192,5,258935.3
paper2,Byte,8192,6,261253.9
paper2,Byte,8192,7,263143.1
paper2,Byte,8192,8,264588.8
paper2,Byte,8192,9,266204.2
paper2,Byte,16384,1,300982.6
paper2,Byte,16384,2,261928.9
